Origin,Transit,Airport,Airlines,Destination,Traffic Condition,Weather Condition,Vehicle Available,Personel Available,Runway Occupancy Time,Estimated Time menit,Estimated Time spesifik
Jakarta(CGK),Langsung,Sultan Iskandar Muda I. Airport (BTJ),Lion Air,Aceh,Moderate,Rain,YESS,NOO,108,368,6 jam 8 menit
Jakarta(CGK),Langsung,Sultan Iskandar Muda I. Airport (BTJ),Sriwijaya Air,Aceh,Normal,Fog,YESS,NOO,54,144,2 jam 24 menit
Jakarta(CGK),Langsung,Sultan Iskandar Muda I. Airport (BTJ),Citilink,Aceh,Moderate,Partly Cloudy,NOO,NOO,95,316,5 jam 16 menit
Jakarta(CGK),Langsung,Sultan Iskandar Muda I. Airport (BTJ),AirAsia,Aceh,Normal,Partly Cloudy,NOO,NOO,86,337,5 jam 37 menit
Jakarta(CGK),Langsung,Sultan Iskandar Muda I. Airport (BTJ),Garuda Indonesia,Aceh,Heavy,Rain,NOO,NOO,86,429,7 jam 9 menit
Jakarta(CGK),Medan (KNO),Sultan Iskandar Muda I. Airport (BTJ),Lion Air,Aceh,Heavy,Partly Cloudy,NOO,NOO,87,310,5 jam 10 menit
Jakarta(CGK),Medan (KNO),Sultan Iskandar Muda I. Airport (BTJ),Sriwijaya Air,Aceh,Heavy,Partly Cloudy,YESS,NOO,92,239,3 jam 59 menit
Jakarta(CGK),Medan (KNO),Sultan Iskandar Muda I. Airport (BTJ),Citilink,Aceh,Moderate,Fog,YESS,YESS,84,227,3 jam 47 menit
Jakarta(CGK),Medan (KNO),Sultan Iskandar Muda I. Airport (BTJ),AirAsia,Aceh,Normal,Clear,YESS,YESS,86,226,3 jam 46 menit
Jakarta(CGK),Medan (KNO),Sultan Iskandar Muda I. Airport (BTJ),Garuda Indonesia,Aceh,Heavy,Fog,NOO,NOO,119,169,2 jam 49 menit
Jakarta(CGK),Langsung,Kualanamu International Airport (KNO),Lion Air,Sumatera Utara,Heavy,Clear,YESS,NOO,85,334,5 jam 34 menit
Jakarta(CGK),Langsung,Kualanamu International Airport (KNO),Sriwijaya Air,Sumatera Utara,Moderate,Clear,NOO,NOO,116,226,3 jam 46 menit
Jakarta(CGK),Langsung,Kualanamu International Airport (KNO),Citilink,Sumatera Utara,Moderate,Clear,YESS,YESS,58,343,5 jam 43 menit
